County,Race,Count
California,American Indian/Alaska Native,92
California,Asian,5339
California,Black or African American,2937
California,Hispanic/Latino,25582
California,Native Hawaiian/Pacific Islander,488
California,White,11625
California,Other,3151
California,Under Investigation,0
Los Angeles,American Indian/Alaska Native,20
Los Angeles,Asian,2088
Los Angeles,Black or African American,1405
Los Angeles,Hispanic/Latino,10430
Los Angeles,Native Hawaiian/Pacific Islander,227
Los Angeles,White,4078
Los Angeles,Other,1443
Los Angeles,Under Investigation,13160
San Diego,American Indian/Alaska Native,10
San Diego,Asian,341
San Diego,Black or African American,172
San Diego,Hispanic/Latino,2453
San Diego,Native Hawaiian/Pacific Islander,38
San Diego,White,1067
San Diego,Other,43
San Diego,Under Investigation,1154
Orange,American Indian/Alaska Native,0
Orange,Asian,391
Orange,Black or African American,60
Orange,Hispanic/Latino,1281
Orange,Native Hawaiian/Pacific Islander,24
Orange,White,842
Orange,Other,177
Orange,Under Investigation,969
San Bernardino,American Indian/Alaska Native,10
San Bernardino,Asian,133
San Bernardino,Black or African American,164
San Bernardino,Hispanic/Latino,0
San Bernardino,Native Hawaiian/Pacific Islander,20
San Bernardino,White,1055
San Bernardino,Other,500
San Bernardino,Under Investigation,1271
Santa Clara,American Indian/Alaska Native,
Santa Clara,Asian,
Santa Clara,Black or African American,
Santa Clara,Hispanic/Latino,
Santa Clara,Native Hawaiian/Pacific Islander,
Santa Clara,White,
Santa Clara,Other,
Santa Clara,Under Investigation,
Alameda,American Indian/Alaska Native,0
Alameda,Asian,307
Alameda,Black or African American,224
Alameda,Hispanic/Latino,822
Alameda,Native Hawaiian/Pacific Islander,13
Alameda,White,313
Alameda,Other,30
Alameda,Under Investigation,406
San Francisco,American Indian/Alaska Native,0
San Francisco,Asian,257
San Francisco,Black or African American,98
San Francisco,Hispanic/Latino,836
San Francisco,Native Hawaiian/Pacific Islander,23
San Francisco,White,344
San Francisco,Other,512
San Francisco,Under Investigation,727
