Race/Ethnicity ,​No. Cases,​Percent Cases,​No. Deaths,​Percent Deaths,​Percent CA population
​Latino,"​25,582",​52,​1022,​36.6,​38.9
​White,"11,625",​23.6,​961,​34.4,​36.6
​Asian,"5,339",​10.8,​437,​15.7,​15.4
​African American/Black,"2,937",​6,​285,​10.2,​6
,,,,,
​Multi-Race,436,​0.9,​13,​0.5,​2.2
​American Indian or Alaska Native,​92,​0.2,​10,​0.4,​0.5
​Native Hawaiian and other Pacific Islander,​488,​1,​25,​0.9,​0.3
​Other,"​2,715",5.5,​39,​1.4,​0
​Total with data,"​49,214",​100,"​2,792",​100,100
